Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Label
left,142.4431604,114.021705,157.5772322,176.8130591,162.4680495,Jumping Jacks
left,135.985801,113.3521148,159.208935,178.3789447,162.687015,Jumping Jacks
left,128.2486891,121.1709735,160.8190334,178.5567973,164.1266796,Jumping Jacks
left,103.6916235,110.7103317,160.112712,175.6018814,167.052182,Jumping Jacks
left,73.5883794,98.32605559,164.6103994,176.3390961,171.1028433,Jumping Jacks
left,57.05230557,110.8632668,168.571315,178.3334174,173.39966,Jumping Jacks
left,40.85308319,147.8636414,173.2489318,179.1132153,175.6756021,Jumping Jacks
left,29.29771479,157.6036529,175.0381716,179.5800037,178.1981934,Jumping Jacks
left,17.85959342,163.235869,176.5057784,179.610468,179.3876867,Jumping Jacks
left,13.03109055,168.6935682,176.7468096,178.7340414,178.002572,Jumping Jacks
left,9.276535927,174.6042836,175.7110592,176.8555833,176.5003628,Jumping Jacks
left,8.279791019,178.1053864,176.1139755,176.651905,175.7976934,Jumping Jacks
left,8.361913102,175.5042893,176.6556683,178.4755816,176.9354826,Jumping Jacks
left,10.26944324,172.8807745,176.4832576,178.0911721,176.9441112,Jumping Jacks
left,11.12992917,157.0859558,175.6543173,178.7865969,178.5809617,Jumping Jacks
left,15.11434442,156.1984525,175.2796695,178.1031584,178.5279514,Jumping Jacks
left,27.54528377,144.9657093,173.2852616,179.5098507,177.0404881,Jumping Jacks
left,39.77708241,134.140886,170.5074919,179.9940388,174.7260301,Jumping Jacks
left,54.74553491,104.8599858,166.48828,178.4717375,172.0865924,Jumping Jacks
left,71.29153195,100.7797893,164.0607744,178.4787581,169.9066749,Jumping Jacks
left,84.90049642,99.41404898,160.5326705,177.3647687,167.0717031,Jumping Jacks
left,106.3558402,111.587399,158.8067056,178.0944803,164.354447,Jumping Jacks
left,131.1245665,118.8056201,156.0784863,177.4957399,161.6157148,Jumping Jacks
left,141.0664281,118.0278889,154.8891693,177.3462824,160.0230988,Jumping Jacks
left,147.3589521,118.6496662,153.5988716,176.5260634,159.5198933,Jumping Jacks
left,144.9994822,119.7423531,155.8930994,179.0681537,159.2739507,Jumping Jacks
left,134.935767,114.2291346,157.7229835,178.6821345,161.4034225,Jumping Jacks
left,123.0876724,120.3030292,158.0965105,174.7864685,165.7472048,Jumping Jacks
left,88.53621798,106.7698809,162.2840545,175.0336584,169.755029,Jumping Jacks
left,71.16572926,109.3371683,166.3273347,176.7463035,172.3913122,Jumping Jacks
left,49.2658424,133.2056419,172.2199343,178.9024986,176.2775207,Jumping Jacks
left,34.53100063,145.1279021,174.7799009,179.7677999,177.8543018,Jumping Jacks
left,20.84237238,150.5290951,176.3886593,178.6973825,178.7498164,Jumping Jacks
left,14.01205624,158.9340866,176.6643098,177.128853,176.6243279,Jumping Jacks
left,10.42961936,169.3908217,176.0327203,177.5478936,176.7876626,Jumping Jacks
left,8.793940058,173.5686125,175.4143918,175.6647309,175.2952832,Jumping Jacks
left,8.452062921,172.6565374,176.2212444,176.0350913,175.0074748,Jumping Jacks
left,10.26977746,170.8606817,176.5519799,176.8159976,175.5677192,Jumping Jacks
left,13.04999194,163.5918597,175.9357668,177.6263715,176.9003456,Jumping Jacks
left,17.78602532,165.5592767,175.7220858,178.9813938,178.6518727,Jumping Jacks
left,28.54018321,154.2568978,175.1186221,177.9742817,177.4009836,Jumping Jacks
left,39.64942816,145.2911432,172.6286141,178.1057245,175.0540598,Jumping Jacks
left,54.20739276,119.9071349,168.3143422,179.8181807,172.2934297,Jumping Jacks
left,66.36464742,108.9715004,165.7050333,179.1599226,170.7068066,Jumping Jacks
left,85.06216037,106.7842374,162.3630125,179.3189624,167.3304935,Jumping Jacks
left,98.8664545,110.1509046,160.0629856,179.3235706,164.7092534,Jumping Jacks
left,123.9176804,115.053466,157.8456639,178.4923104,162.6772276,Jumping Jacks
left,136.4332562,115.2768111,156.9034372,179.7878822,159.8606528,Jumping Jacks
left,21.510199,175.7244601,14.59957148,167.9436487,160.9937111,Jumping Jacks
left,58.74144126,165.6192097,37.02695157,177.9855483,162.5885414,Jumping Jacks
left,139.9661848,147.8075474,26.29630682,174.370418,167.6886831,Jumping Jacks
left,56.01356132,19.49063031,43.82492441,174.7324776,170.2627706,Jumping Jacks
left,26.57012962,120.2140725,25.64250421,164.5549267,170.4835284,Jumping Jacks
left,19.25826601,167.4671181,18.94845963,178.9826772,173.9646345,Jumping Jacks
left,35.64717976,170.1455236,2.885260924,169.4092032,169.1806427,Jumping Jacks
left,149.4735445,118.8845738,105.1866319,176.6214619,178.5133833,Jumping Jacks
left,136.5522888,178.2107587,96.14351118,179.6750621,176.9385539,Jumping Jacks
left,5.119398308,175.0323824,175.6985184,167.5707446,167.2981099,Jumping Jacks
left,4.988283151,173.885288,176.049775,168.3215462,167.7502865,Jumping Jacks
left,6.986839557,167.4311552,177.5602336,173.9147554,171.3463932,Jumping Jacks
left,17.07219523,173.8322664,173.7319712,175.9649393,175.6084117,Jumping Jacks
left,26.09924151,167.7812081,170.1290057,179.9974265,175.9844771,Jumping Jacks
left,36.0478091,160.7169034,169.5628498,179.7844171,175.1211122,Jumping Jacks
left,44.14617244,136.3678527,169.7336201,177.9618321,171.8687099,Jumping Jacks
left,20.20069083,74.06297292,165.9600166,177.9803255,170.4394871,Jumping Jacks
left,7.347722533,46.6419304,160.2386577,179.226464,169.3867038,Jumping Jacks
left,5.101609482,76.3173629,158.6818168,178.0894045,167.9299195,Jumping Jacks
left,111.0813347,106.7316288,166.6694,177.9421069,171.0591478,Jumping Jacks
left,121.6180704,118.7555299,162.9409519,174.4617149,170.3714109,Jumping Jacks
left,146.2119842,136.7037591,160.5725577,170.3487623,171.8178082,Jumping Jacks
left,150.7762011,136.0017683,158.6569764,167.2263892,173.075403,Jumping Jacks
left,145.7391174,127.5140354,162.0293419,172.9340963,170.47581,Jumping Jacks
left,138.0593157,128.3519066,163.7455381,175.1493927,170.1627341,Jumping Jacks
left,128.1380855,123.4811828,152.3553145,178.0086975,161.7703607,Jumping Jacks
left,117.702287,105.6352031,179.8789977,172.210986,164.3745593,Jumping Jacks
left,104.1639046,127.3141983,161.9800871,177.7458674,167.4385509,Jumping Jacks
left,67.28219903,125.5263127,172.3336072,168.1461468,167.9608156,Jumping Jacks
left,24.87258594,136.5255507,178.6887388,173.0237351,174.9940328,Jumping Jacks
left,18.00140727,149.3305403,178.0516003,176.2346321,178.0393644,Jumping Jacks
left,13.78880941,164.0403168,178.0400888,178.5512552,178.5195033,Jumping Jacks
left,7.019138199,176.9390514,179.0882301,179.9541659,176.7526356,Jumping Jacks
left,2.921187228,173.7089908,176.6980139,172.8834952,171.2203437,Jumping Jacks
left,3.52867519,174.2018904,177.254139,171.3191591,169.5768412,Jumping Jacks
left,5.417761627,172.6205035,177.9638501,172.4858809,170.366869,Jumping Jacks
left,7.428113248,167.171247,177.7839178,173.9113917,171.876067,Jumping Jacks
left,13.47901406,152.6441773,174.7978832,176.4753518,174.6743438,Jumping Jacks
left,17.87101601,147.9217744,174.5658777,178.6357242,178.9789561,Jumping Jacks
left,30.69072237,129.2761035,172.1244666,177.1386737,175.0068153,Jumping Jacks
left,40.27179832,113.2386989,168.9896533,178.9933497,173.7257854,Jumping Jacks
left,52.61010042,90.89530986,166.1216103,177.8039213,173.1379167,Jumping Jacks
left,62.73440043,88.51708602,165.7033678,176.4867075,172.7460188,Jumping Jacks
left,99.80430478,111.0479246,165.3637627,177.7346985,170.1113968,Jumping Jacks
left,120.5280222,127.9013739,163.1559005,176.660035,168.7675104,Jumping Jacks
left,142.6646962,129.886302,159.8424751,174.425257,167.3853259,Jumping Jacks
left,151.0950456,126.3264322,157.9008245,172.1330155,167.7302411,Jumping Jacks
left,152.9729672,127.4632375,158.2236613,173.2156194,167.0778839,Jumping Jacks
left,145.788368,125.0583894,161.5663404,177.7332193,165.8348149,Jumping Jacks
left,128.1711336,123.2772174,163.553736,178.5580302,167.0939234,Jumping Jacks
left,117.8650371,126.9266116,164.0399966,177.2310862,168.9721722,Jumping Jacks
left,75.76023726,106.9506683,170.0274768,179.41352,172.6743046,Jumping Jacks
left,48.7812284,100.9758398,173.8141109,179.9049924,176.0107792,Jumping Jacks
left,31.67963944,133.152046,177.1561859,179.7120455,179.3364781,Jumping Jacks
left,19.44620081,139.1816522,178.2907205,178.8487016,177.7309503,Jumping Jacks
left,11.7486449,153.7240135,179.0823516,178.5868927,175.9717407,Jumping Jacks
left,8.037672829,161.5125054,179.0620295,176.7711803,173.9874283,Jumping Jacks
left,4.132829541,168.685813,178.5466019,174.1067213,171.8191741,Jumping Jacks
left,3.463450209,171.3736446,177.9030808,171.9291182,170.2224096,Jumping Jacks
left,4.665373368,170.2386573,178.5418452,172.6884075,170.3962857,Jumping Jacks
left,6.553922507,167.7998778,179.0803844,174.9174021,172.0535488,Jumping Jacks
left,6.993855558,150.169975,179.0323104,178.5875825,175.6962469,Jumping Jacks
